area,membersAccessible,region,pokemon,pokedexNumber,morning,day,night,location,rod,membership,heldItem,tier,levels
Hoenn Safari Zone Area 1,,Hoenn,Psyduck,54,Morning,Day,Night,Surfing,Good,,,2,28-32
Hoenn Safari Zone Area 1,,Hoenn,Seaking,119,Morning,Day,Night,Surfing,Super,,,6,28-32
Hoenn Safari Zone Area 2,,Hoenn,Goldeen,118,Morning,Day,Night,Surfing,Old,,,1,28-32
Hoenn Safari Zone Area 2,,Hoenn,Krabby,98,Morning,Day,Night,Surfing,Old,,,1,28-32
Hoenn Safari Zone Area 2,,Hoenn,Magikarp,129,Morning,Day,Night,Surfing,Old,,,2,28-32
Hoenn Safari Zone Area 2,,Hoenn,Psyduck,54,Morning,Day,Night,Surfing,Good,,,2,28-32
Hoenn Safari Zone Area 2,,Hoenn,Seaking,119,Morning,Day,Night,Surfing,Super,,,6,28-32
Hoenn Safari Zone Area 3,,Hoenn,Goldeen,118,Morning,Day,Night,Surfing,Old,,,1,28-32
Hoenn Safari Zone Area 3,,Hoenn,Magikarp,129,Morning,Day,Night,Surfing,Old,,,2,28-32
Hoenn Safari Zone Area 3,,Hoenn,Psyduck,54,Morning,Day,Night,Surfing,Good,,,2,28-32
Hoenn Safari Zone Area 3,,Hoenn,Seaking,119,Morning,Day,Night,Surfing,Super,,,6,28-32
Hoenn Safari Zone Area 5,,Hoenn,Goldeen,118,Morning,Day,Night,Surfing,Old,,,1,28-32
Hoenn Safari Zone Area 5,,Hoenn,Magikarp,129,Morning,Day,Night,Surfing,Old,,,2,28-32
Hoenn Safari Zone Area 5,,Hoenn,Marill,183,Morning,Day,Night,Surfing,,,,5,28-32
Hoenn Safari Zone Area 5,,Hoenn,Mudkip,258,Morning,Day,Night,Surfing,,,,8,10-14
Hoenn Safari Zone Area 5,,Hoenn,Octillery,224,Morning,Day,Night,Surfing,Super,,,8,28-32
Hoenn Safari Zone Area 5,,Hoenn,Quagsire,195,Morning,Day,Night,Surfing,,,,3,28-32
Hoenn Safari Zone Area 5,,Hoenn,Remoraid,223,Morning,Day,Night,Surfing,Super,,,6,28-32
Icefall Cave 1F,#FF00BF,Sevii Islands,Goldeen,118,Morning,Day,Night,Surfing,Good,,,1,30-34
Icefall Cave 1F,#FF00BF,Sevii Islands,Horsea,116,Morning,Day,Night,Surfing,Old,,[[Dragon Scale]],2,30-34
Icefall Cave 1F,#FF00BF,Sevii Islands,Krabby,98,Morning,Day,Night,Surfing,Old,,,1,30-34
Icefall Cave 1F,#FF00BF,Sevii Islands,Seadra,117,Morning,Day,Night,Surfing,Good,,[[Dragon Scale]],5,30-34
Icefall Cave 1F,#FF00BF,Sevii Islands,Seel,86,Morning,Day,Night,Surfing,Old,,,1,30-34
Icefall Cave 1F,#FF00BF,Sevii Islands,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,30-34
Icefall Cave 1F,#FF00BF,Sevii Islands,Shellder,90,Morning,Day,Night,Fishing,Super,,,7,30-34
Icefall Back Cave,#FF00BF,Sevii Islands,Gyarados,130,Morning,Day,Night,Surfing,Super,,,5,30-34
Icefall Back Cave,#FF00BF,Sevii Islands,Horsea,116,Morning,Day,Night,Surfing,Good,,[[Dragon Scale]],2,30-34
Icefall Back Cave,#FF00BF,Sevii Islands,Krabby,98,Morning,Day,Night,Surfing,Old,,,1,30-34
Icefall Back Cave,#FF00BF,Sevii Islands,Lapras,131,Morning,Day,Night,Surfing,,,[[Mystic Water]],8,41-45
Icefall Back Cave,#FF00BF,Sevii Islands,Seadra,117,Morning,Day,Night,Surfing,Super,,[[Dragon Scale]],5,30-34
Icefall Back Cave,#FF00BF,Sevii Islands,Tentacool,72,Morning,Day,Night,Surfing,Old,,[[Poison Barb]],1,30-34
Icefall Back Cave,#FF00BF,Sevii Islands,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,30-34
Icefall Cave Entrance,#FF00BF,Sevii Islands,Dewgong,87,Morning,Day,Night,Surfing,Good,,[[Mystic Water]],4,5-20
Icefall Cave Entrance,#FF00BF,Sevii Islands,Goldeen,118,Morning,Day,Night,Surfing,Good,,,1,5-20
Icefall Cave Entrance,#FF00BF,Sevii Islands,Gyarados,130,Morning,Day,Night,Surfing,Super,,,5,15-30
Icefall Cave Entrance,#FF00BF,Sevii Islands,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,5-20
Icefall Cave Entrance,#FF00BF,Sevii Islands,Marill,183,Morning,Day,Night,Surfing,Super,,,5,5-20
Icefall Cave Entrance,#FF00BF,Sevii Islands,Poliwag,60,Morning,Day,Night,Surfing,Good,,[[King's Rock]],1,5-20
Icefall Cave Entrance,#FF00BF,Sevii Islands,Poliwhirl,61,Morning,Day,Night,Surfing,Super,,[[King's Rock]],3,10-25
Icefall Cave Entrance,#FF00BF,Sevii Islands,Seel,86,Morning,Day,Night,Surfing,Good,,,1,5-36
Icefall Cave Entrance,#FF00BF,Sevii Islands,Slowpoke,79,Morning,Day,Night,Surfing,Good,,,2,5-36
Icefall Cave Entrance,#FF00BF,Sevii Islands,Wooper,194,Morning,Day,Night,Surfing,Good,,,2,5-36
Ilex Forest,,Johto,Psyduck,54,Morning,Day,Night,Surfing,Old,,,1,5-9
Ilex Forest,,Johto,Poliwag,60,,,Night,Surfing,Good,,,2,7-11
Ilex Forest,,Johto,Golduck,55,Morning,Day,Night,Surfing,Super,,,4,10-14
Ilex Forest,,Johto,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,6-10
Iron Island,,Sinnoh,Wingull,278,Morning,Day,Night,Surfing,,,,2,20-45
Iron Island,,Sinnoh,Pelipper,279,Morning,Day,Night,Surfing,,,,5,20-45
Iron Island,,Sinnoh,Tentacool,72,Morning,Day,Night,Surfing,Old,,,1,20-45
Iron Island,,Sinnoh,Magikarp,129,Morning,Day,Night,Surfing,Old,,,2,15-19
Iron Island,,Sinnoh,Tentacruel,73,Morning,Day,Night,Surfing,Good,,,3,20-45
Iron Island,,Sinnoh,Gyarados,130,Morning,Day,Night,Surfing,Good,,,4,15-19
Iron Island,,Sinnoh,Qwilfish,211,Morning,Day,Night,Surfing,Super,,,6,15-19
Iron Island,,Sinnoh,Finneon,456,Morning,Day,Night,Surfing,Super,,,5,15-19
Iron Island,,Sinnoh,Lumineon,457,Morning,Day,Night,Surfing,Super,,,6,15-19
Jura Cave,,Hoenn,Tirtouga,564,Morning,,,Surfing,,,,7,20-24
Jura Cave,,Hoenn,Azurill,298,Morning,Day,Night,Surfing,,,,5,20-24
Jura Cave,,Hoenn,Carvanha,318,Morning,Day,Night,Surfing,,,,5,20-24
Jura Cave,,Hoenn,Feebas,349,Morning,Day,Night,Surfing,,,,7,26-31
Jura Cave,,Hoenn,Goldeen,118,Morning,Day,Night,Surfing,,,,1,20-24
Jura Cave,,Hoenn,Horsea,116,Morning,Day,Night,Surfing,,,,5,20-24
Jura Cave,,Hoenn,Magikarp,129,Morning,Day,Night,Surfing,,,,2,20-24
Jura Cave,,Hoenn,Seadra,117,Morning,Day,Night,Surfing,,,,6,22-26
Jura Cave,,Hoenn,Zubat,41,Morning,Day,Night,Surfing,,,,1,20-24
Kindle Road,#FF00BF,Sevii Islands,Gyarados,130,Morning,Day,Night,Surfing,Super,,,5,25-29
Kindle Road,#FF00BF,Sevii Islands,Horsea,116,Morning,Day,Night,Fishing,Good,,[[Dragon Scale]],2,12-16
Kindle Road,#FF00BF,Sevii Islands,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,12-16
Kindle Road,#FF00BF,Sevii Islands,Psyduck,54,Morning,Day,Night,Surfing,Good,,,1,25-29
Kindle Road,#FF00BF,Sevii Islands,Krabby,98,Morning,Day,Night,Surfing,Old,,,1,12-16
Kindle Road,#FF00BF,Sevii Islands,Slowpoke,79,Morning,Day,Night,Surfing,Good,,,2,23-27
Kindle Road,#FF00BF,Sevii Islands,Tentacool,72,Morning,Day,Night,Surfing,,,[[Poison Barb]],1,12-16
Kindle Road,#FF00BF,Sevii Islands,Tentacruel,73,Morning,Day,Night,Surfing,,,[[Poison Barb]],4,30-34
Kindle Road,#FF00BF,Sevii Islands,Wailmer,320,Morning,Day,Night,Surfing,,,,7,30-34
Kindle Road,#FF00BF,Sevii Islands,Kingler,99,Morning,Day,Night,Fishing,Super,,,3,25-29
Lake Acuity,,Sinnoh,Psyduck,54,Morning,Day,Night,Surfing,,,,1,35-41
Lake Acuity,,Sinnoh,Golduck,55,Morning,Day,Night,Surfing,,,,3,35-41
Lake Acuity,,Sinnoh,Magikarp,129,Morning,Day,Night,Surfing,Old,,,2,35-41
Lake Acuity,,Sinnoh,Wingull,278,Morning,Day,Night,Surfing,Old,,,1,35-41
Lake Acuity,,Sinnoh,Poliwhirl,61,Morning,Day,Night,Surfing,Super,,,4,35-41
Lake Cave,,Johto,Zubat,41,Morning,Day,Night,Surfing,,,,2,26-30
Lake Cave,,Johto,Golbat,42,Morning,Day,Night,Surfing,,,,4,26-30
Lake Cave,,Johto,Froakie,656,Morning,Day,Night,Surfing,,,,8,18-22
Lake Cave,,Johto,Wooper,194,Morning,Day,Night,Surfing,Old,,,1,26-30
Lake Cave,,Johto,Horsea,116,Morning,Day,Night,Surfing,Good,,,4,26-30
Lake Cave,,Johto,Marill,183,Morning,Day,Night,Surfing,Good,,,5,26-30
Lake Cave,,Johto,Corsola,222,Morning,Day,Night,Surfing,Good,,,4,18-22
Lake Cave,,Johto,Qwilfish,211,Morning,Day,Night,Fishing,Super,,[[Poison Barb]],5,18-22
Lake of Rage,,Johto,Zubat,41,,,Night,Surfing,Good,,,2,5-8
Lake of Rage,,Johto,Magikarp,129,Morning,Day,Night,Surfing,Good,,,3,5
Lake Valor,,Sinnoh,Psyduck,54,Morning,Day,Night,Surfing,,,,1,35-39
Lake Valor,,Sinnoh,Golduck,55,Morning,Day,Night,Surfing,,,,3,35-39
Lake Valor,,Sinnoh,Goldeen,118,Morning,Day,Night,Surfing,Old,,,1,35-39
Lake Valor,,Sinnoh,Magikarp,129,Morning,Day,Night,Surfing,Old,,,2,35-39
Lake Valor,,Sinnoh,Seaking,119,Morning,Day,Night,Surfing,Good,,,3,35-39
Lake Valor,,Sinnoh,Gyarados,130,Morning,Day,Night,Surfing,Good,,,3,35-39
Lake Verity,,Sinnoh,Psyduck,54,Morning,Day,Night,Surfing,Old,,,1,20-30
Lake Verity,,Sinnoh,Magikarp,129,Morning,Day,Night,Surfing,Old,,,2,20-30
Lake Verity,,Sinnoh,Goldeen,118,Morning,Day,Night,Surfing,Good,,,1,20-30
Lake Verity,,Sinnoh,Golduck,55,Morning,Day,Night,Surfing,Super,,,3,20-30
Lake Verity,,Sinnoh,Seaking,119,Morning,Day,Night,Surfing,Super,,,4,20-30
Lake Verity,,Sinnoh,Gyarados,130,Morning,Day,Night,Surfing,Super,,,5,20-30
Leev Town Entrance,#FF00B,Hoenn,Zubat,41,,,Night,Surfing,,,,1,20-24
Leev Town Entrance,#FF00B,Hoenn,Corphish,341,Morning,Day,Night,Surfing,,,,5,20-24
Leev Town Entrance,#FF00B,Hoenn,Golduck,55,Morning,Day,Night,Surfing,,,,3,22-26
Leev Town Entrance,#FF00B,Hoenn,Marill,183,Morning,Day,Night,Surfing,,,,5,20-24
Leev Town Entrance,#FF00B,Hoenn,Psyduck,54,Morning,Day,Night,Surfing,,,,1,20-24
Leev Town Entrance,#FF00B,Hoenn,Wingull,278,Morning,Day,Night,Surfing,,,,1,20-24
Lilycove City,,Hoenn,Tentacruel,73,Morning,Day,Night,Surfing,,,,3,25-35
Lilycove City,,Hoenn,Wingull,278,Morning,Day,Night,Surfing,,,,1,25-35
Lilycove City,,Hoenn,Pelipper,279,Morning,Day,Night,Surfing,,,,4,25-35
Lilycove City,,Hoenn,Tentacool,72,Morning,Day,Night,Surfing,Old,,,1,25-35
Lilycove City,,Hoenn,Shellder,90,Morning,Day,,Surfing,Super,,,6,25-35
Lilycove City,,Hoenn,Staryu,120,Morning,,Night,Surfing,Super,,,6,36-42
Lilycove City,,Hoenn,Wailmer,320,Morning,Day,Night,Surfing,Super,,,6,25-35
Lost Cave,#FF00BF,Sevii Islands,Gyarados,130,Morning,Day,Night,Surfing,Old,,,5,20-26
Lost Cave,#FF00BF,Sevii Islands,Magikarp,129,Morning,Day,Night,Surfing,Old,,,2,15-21
Lost Cave,#FF00BF,Sevii Islands,Tentacool,72,Morning,Day,Night,Surfing,Old,,[[Poison Barb]],1,15-21
Lost Cave,#FF00BF,Sevii Islands,Tentacruel,73,Morning,Day,Night,Surfing,Good,,[[Poison Barb]],4,15-21
Love Island,,Kanto,Azurill,298,,,Night,Surfing,,,,6,18-22
Love Island,,Kanto,Carvanha,318,,,Night,Surfing,,,,5,18-22
Love Island,,Kanto,Chinchou,170,,,Night,Surfing,,,,2,13-17
Love Island,,Kanto,Clamperl,366,,,Night,Surfing,,,,6,18-22
Love Island,,Kanto,Dratini,147,Morning,Day,Night,Surfing,,,,8,18-22
Love Island,,Kanto,Poliwag,60,,,Night,Surfing,,,,1,13-17
Love Island,,Kanto,Staryu,120,,,Night,Surfing,,,,6,13-17
Love Island,,Kanto,Corsola,222,Morning,Day,,Surfing,,,,4,13-17
Love Island,,Kanto,Finneon,456,Morning,Day,,Surfing,,,,6,13-17
Love Island,,Kanto,Lapras,131,Morning,Day,,Surfing,,,,8,13-17
Love Island,,Kanto,Luvdisc,370,Morning,Day,,Surfing,,,,7,13-17
Love Island,,Kanto,Mantyke,458,Morning,Day,,Surfing,,,,6,13-17
Love Island,,Kanto,Psyduck,54,Morning,Day,Night,Surfing,,,,1,18-22
Love Island,,Kanto,Seel,86,Morning,Day,,Surfing,,,,2,13-17
Love Island,,Kanto,Slowpoke,79,Morning,Day,,Surfing,,,,2,13-17
Love Island,,Kanto,Tentacool,72,Morning,Day,,Surfing,,,,1,13-17
Memorial Pillar,#FF00BF,Sevii Islands,Remoraid,223,,Day,,Fishing,Super,,,6,10-14
Memorial Pillar,#FF00BF,Sevii Islands,Qwilfish,211,Morning,,Night,Fishing,Super,,[[Poison Barb]],5,10-14
Memorial Pillar,#FF00BF,Sevii Islands,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,10-14
Memorial Pillar,#FF00BF,Sevii Islands,Psyduck,54,Morning,,,Surfing,Old,,,1,10-14
Memorial Pillar,#FF00BF,Sevii Islands,Hoppip,187,Morning,Day,,Surfing,Good,,,2,10-14
Memorial Pillar,#FF00BF,Sevii Islands,Horsea,116,Morning,Day,Night,Surfing,Good,,[[Dragon Scale]],3,10-14
Memorial Pillar,#FF00BF,Sevii Islands,Kingler,99,Morning,Day,Night,Surfing,Super,,,3,25-29
Memorial Pillar,#FF00BF,Sevii Islands,Krabby,98,Morning,Day,Night,Surfing,Old,,,1,10-14
Memorial Pillar,#FF00BF,Sevii Islands,Seadra,117,Morning,Day,Night,Surfing,Super,,[[Dragon Scale]],5,25-29
Memorial Pillar,#FF00BF,Sevii Islands,Slowpoke,79,Morning,Day,Night,Surfing,Good,,,2,25-29
Memorial Pillar,#FF00BF,Sevii Islands,Tentacool,72,Morning,Day,Night,Surfing,Old,,[[Poison Barb]],1,10-14
Memorial Pillar,#FF00BF,Sevii Islands,Tentacruel,73,Morning,Day,Night,Surfing,Super,,[[Poison Barb]],3,31-35
Meteor Falls 1F 1R,,Hoenn,Zubat,41,Morning,Day,Night,Surfing,,,,1,14-20
Meteor Falls 1F 1R,,Hoenn,Krabby,98,Morning,Day,Night,Surfing,,,,1,14-20
Meteor Falls 1F 1R,,Hoenn,Kingler,99,Morning,Day,Night,Surfing,,,,5,14-20
Meteor Falls 1F 1R,,Hoenn,Lunatone,337,,,Night,Surfing,,,,7,14-20
Meteor Falls 1F 1R,,Hoenn,Solrock,338,,Day,,Surfing,,,,7,14-20
Meteor Falls 1F 1R,,Hoenn,Barboach,339,Morning,Day,Night,Surfing,,,,6,14-20
Meteor Falls 1F 1R,,Hoenn,Goldeen,118,Morning,Day,Night,Surfing,Old,,,1,14-20
Meteor Falls 1F 1R,,Hoenn,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,14-20
Meteor Falls 1F 2R,,Hoenn,Krabby,98,Morning,Day,Night,Surfing,,,,1,14-20
Meteor Falls 1F 2R,,Hoenn,Kingler,99,Morning,Day,Night,Surfing,,,,5,14-20
Meteor Falls 1F 2R,,Hoenn,Lunatone,337,,,Night,Surfing,,,,7,14-20
Meteor Falls 1F 2R,,Hoenn,Solrock,338,,Day,,Surfing,,,,7,14-20
Meteor Falls 1F 2R,,Hoenn,Skrelp,690,Morning,,Night,Surfing,,,,9,14-20
Meteor Falls 1F 2R,,Hoenn,Goldeen,118,Morning,Day,Night,Surfing,Old,,,1,14-20
Meteor Falls 1F 2R,,Hoenn,Barboach,339,Morning,Day,Night,Surfing,Super,,,5,14-20
Meteor Falls 1F 2R,,Hoenn,Whiscash,340,Morning,Day,Night,Surfing,Super,,,8,14-20
Meteor Falls B1F 1R,,Hoenn,Zubat,41,Morning,Day,Night,Surfing,,,,1,14-20
Meteor Falls B1F 1R,,Hoenn,Krabby,98,Morning,Day,Night,Surfing,,,,1,14-20
Meteor Falls B1F 1R,,Hoenn,Kingler,99,Morning,Day,Night,Surfing,,,,5,14-20
Meteor Falls B1F 1R,,Hoenn,Lunatone,337,,,Night,Surfing,,,,7,14-20
Meteor Falls B1F 1R,,Hoenn,Solrock,338,,Day,,Surfing,,,,7,14-20
Meteor Falls B1F 1R,,Hoenn,Barboach,339,Morning,Day,Night,Surfing,Super,,,5,14-20
Meteor Falls B1F 1R,,Hoenn,Whiscash,340,Morning,Day,Night,Surfing,Super,,,7,14-20
Meteor Falls B1F 1R,,Hoenn,Goldeen,118,Morning,Day,Night,Fishing,Old,,,1,14-20
Meteor Falls B1F 1R,,Hoenn,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,14-20
Meteor Falls B1F 2R,,Hoenn,Zubat,41,Morning,Day,Night,Surfing,,,,1,14-20
Meteor Falls B1F 2R,,Hoenn,Krabby,98,Morning,Day,Night,Surfing,,,,1,14-20
Meteor Falls B1F 2R,,Hoenn,Kingler,99,Morning,Day,Night,Surfing,,,,5,14-20
Meteor Falls B1F 2R,,Hoenn,Lunatone,337,,,Night,Surfing,,,,7,14-20
Meteor Falls B1F 2R,,Hoenn,Solrock,338,,Day,,Surfing,,,,7,14-20
Meteor Falls B1F 2R,,Hoenn,Goldeen,118,Morning,Day,Night,Surfing,Old,,,1,14-20
Meteor Falls B1F 2R,,Hoenn,Magikarp,129,Morning,Day,Night,Surfing,Old,,,2,14-20
Meteor Falls B1F 2R,,Hoenn,Barboach,339,Morning,Day,Night,Surfing,Super,,,5,14-20
Meteor Falls B1F 2R,,Hoenn,Whiscash,340,Morning,Day,Night,Surfing,Super,,,7,14-20
Mossdeep City,,Hoenn,Tentacruel,73,Morning,Day,Night,Surfing,,,,3,28-36
Mossdeep City,,Hoenn,Pelipper,279,Morning,Day,Night,Surfing,,,,4,28-36
Mossdeep City,,Hoenn,Frillish,592,Morning,Day,Night,Surfing,,#FF00BF,,8,28-36
Mossdeep City,,Hoenn,Tentacool,72,Morning,Day,Night,Surfing,Old,,,1,28-36
Mossdeep City,,Hoenn,Sharpedo,319,Morning,Day,Night,Surfing,Super,,,7,28-36
Mossdeep City,,Hoenn,Wailmer,320,Morning,Day,Night,Surfing,Super,,,6,28-36
Mossdeep City,,Hoenn,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,28-36
Mt. Coronet South,,Sinnoh,Zubat,41,Morning,Day,Night,Surfing,,,,1,20-35
Mt. Coronet South,,Sinnoh,Magikarp,129,Morning,Day,Night,Fishing,Old,,,1,3-11
Mt. Coronet South,,Sinnoh,Barboach,339,Morning,Day,Night,Fishing,Good,,,3,10-18
Mt. Coronet South,,Sinnoh,Psyduck,54,Morning,Day,Night,Fishing,Super,,,1,20-28
Mt. Coronet South,,Sinnoh,Gyarados,130,Morning,Day,Night,Fishing,Super,,,3,20-28
Mt. Coronet South,,Sinnoh,Whiscash,340,Morning,Day,Night,Fishing,Super,,,7,20-28
Mt. Coronet B1F,,Sinnoh,Zubat,41,Morning,Day,Night,Surfing,,,,1,20-35
Mt. Coronet B1F,,Sinnoh,Magikarp,129,Morning,Day,Night,Surfing,Old,,,2,15-20
Mt. Coronet B1F,,Sinnoh,Barboach,339,Morning,Day,Night,Surfing,Good,,,5,15-20
Mt. Coronet B1F,,Sinnoh,Gyarados,130,Morning,Day,Night,Surfing,Super,,,5,15-20
Mt. Coronet B1F,,Sinnoh,Whiscash,340,Morning,Day,Night,Surfing,Super,,,7,20-25
Mt. Coronet B1F,,Sinnoh,Feebas,349,Morning,Day,Night,Surfing,Super,,,8,10-15
Mt. Coronet B1F,,Sinnoh,Binacle,688,Morning,,Night,Surfing,Super,#FF00BF,,8,10-15
Mt. Coronet 4F,,Sinnoh,Psyduck,54,Morning,Day,Night,Surfing,,,,1,25-30
Mt. Coronet 4F,,Sinnoh,Zubat,41,Morning,Day,Night,Surfing,,,,1,25-30
Mt. Coronet 4F,,Sinnoh,Goldeen,118,Morning,Day,Night,Fishing,Old,,,1,15-20
Mt. Coronet 4F,,Sinnoh,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,15-20
Mt. Coronet 4F,,Sinnoh,Gyarados,130,Morning,Day,Night,Fishing,Old,,,4,15-20
Mt. Coronet 4F,,Sinnoh,Barboach,339,Morning,Day,Night,Fishing,Good,,,5,15-20
Mt. Coronet 4F,,Sinnoh,Dratini,147,Morning,,Night,Fishing,Super,,,8,25-30
Mt. Coronet 4F,,Sinnoh,Whiscash,340,Morning,Day,Night,Fishing,Super,,,7,20-25
Mt. Mortar 1F,,Johto,Krabby,98,Morning,Day,Night,Surfing,Old,,,1,13-17
Mt. Mortar 1F,,Johto,Magikarp,129,Morning,Day,Night,Surfing,Old,,,2,13-17
Mt. Mortar 1F,,Johto,Goldeen,118,Morning,Day,Night,Surfing,Good,,,1,13-17
Mt. Mortar 1F,,Johto,Seaking,119,Morning,Day,Night,Surfing,Good,,[[Mystic Water]],4,13-17
Mt. Mortar 1F,,Johto,Marill,183,,,Night,Surfing,Super,,,5,13-17
Mt. Mortar B1F,,Johto,Poliwag,60,Morning,Day,Night,Surfing,Good,,,2,13-17
Mt. Mortar B1F,,Johto,Goldeen,118,Morning,Day,Night,Surfing,Good,,,1,13-17
Mt. Mortar B1F,,Johto,Seaking,119,Morning,Day,Night,Surfing,Super,,,2,13-17
Mt. Mortar B1F,,Johto,Marill,183,Morning,Day,Night,Surfing,Super,,,5,13-17
Mt. Mortar B1F,,Johto,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,13-17
Mt. Mortar Upper Cave,,Johto,Krabby,98,Morning,Day,Night,Surfing,Good,,,1,13-17
Mt. Mortar Upper Cave,,Johto,Goldeen,118,Morning,Day,Night,Surfing,Good,,,1,13-17
Mt. Mortar Upper Cave,,Johto,Seaking,119,Morning,Day,Night,Surfing,Super,,,3,13-17
Mt. Mortar Upper Cave,,Johto,Marill,183,,,Night,Surfing,Super,,,5,13-17
Mt. Mortar Upper Cave,,Johto,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,13-17
Mt. Pyre Exterior,,Hoenn,Poliwag,60,Morning,Day,Night,Surfing,,,,1,21-26
Mt. Pyre Exterior,,Hoenn,Poliwhirl,61,Morning,Day,Night,Surfing,,,,4,21-26
Mt. Pyre Exterior,,Hoenn,Marill,183,Morning,Day,Night,Surfing,,,,5,21-26
Mt. Pyre Exterior,,Hoenn,Wooper,194,Morning,Day,Night,Surfing,,,,1,21-26
Mt. Pyre Exterior,,Hoenn,Quagsire,195,Morning,Day,Night,Surfing,,,,4,24-29
Mt. Pyre Exterior,,Hoenn,Lotad,270,Morning,Day,Night,Surfing,,,,5,21-26
Mt. Pyre Summit,,Hoenn,Poliwag,60,Morning,Day,Night,Surfing,,,,1,21-26
Mt. Pyre Summit,,Hoenn,Poliwhirl,61,Morning,Day,Night,Surfing,,,,4,21-26
Mt. Pyre Summit,,Hoenn,Marill,183,Morning,,,Surfing,,,,5,21-26
Mt. Pyre Summit,,Hoenn,Wooper,194,Morning,Day,Night,Surfing,,,,1,21-26
Mt. Pyre Summit,,Hoenn,Quagsire,195,Morning,Day,Night,Surfing,,,,3,21-26
Mt. Pyre Summit,,Hoenn,Lotad,270,Morning,Day,Night,Surfing,,,,5,21-26
Mt. Silver 1F,,Kanto,Poliwag,60,Morning,Day,Night,Surfing,Good,,,1,47-50
Mt. Silver 1F,,Kanto,Golduck,55,Morning,Day,Night,Surfing,Super,,,2,47-50
Mt. Silver 1F,,Kanto,Poliwhirl,61,Morning,Day,Night,Surfing,Super,,,4,47-50
Mt. Silver 1F,,Kanto,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,47-50
Mt. Silver Exterior,,Kanto,Krabby,98,Morning,Day,Night,Surfing,Old,,,1,32-40
Mt. Silver Exterior,,Kanto,Poliwag,60,Morning,,Night,Surfing,Good,,,1,32-40
Mt. Silver Exterior,,Kanto,Poliwhirl,61,,,Night,Surfing,Good,,,4,32-40
Mt. Silver Exterior,,Kanto,Horsea,116,Morning,Day,Night,Surfing,Good,,,2,32-40
Mt. Silver Exterior,,Kanto,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,32-40
Mt. Silver Exterior,,Kanto,Surskit,283,Morning,Day,Night,Fishing,Good,,,5,32-40
Mt. Silver Exterior,,Kanto,Politoed,186,Morning,Day,Night,Fishing,Super,,,7,32-40
Olivine City,,Johto,Staryu,120,,,Night,Surfing,,,,6,15-20
Olivine City,,Johto,Tentacool,72,Morning,Day,Night,Surfing,Old,,,1,15-20
Olivine City,,Johto,Krabby,98,Morning,Day,Night,Surfing,Old,,,1,15-20
Olivine City,,Johto,Tentacruel,73,Morning,Day,Night,Surfing,Good,,,3,15-20
Olivine City,,Johto,Shellder,90,Morning,Day,Night,Surfing,Super,,,6,15-20
Olivine City,,Johto,Chinchou,170,Morning,,Night,Surfing,Super,,,2,15-20
Olivine City,,Johto,Lanturn,171,,,Night,Surfing,Super,,,3,15-20
Olivine City,,Johto,Corsola,222,Morning,Day,,Surfing,Super,,,4,15-20
Olivine City,,Johto,Magikarp,129,Morning,Day,Night,Fishing,Old,,,2,15-20
One Island,#FF00BF,Sevii Islands,Slowpoke,79,Morning,,,Fishing,Super,,,2,25-29
One Island,#FF00BF,Sevii Islands,Shellder,90,,Day,,Fishing,Super,,[[Big Pearl]],7,34-38
One Island,#FF00BF,Sevii Islands,Tentacruel,73,,Day,,Surfing,,,[[Poison Barb]],5,34-38
One Island,#FF00BF,Sevii Islands,Wailmer,320,,Day,,Fishing,Super,,,8,34-38
One Island,#FF00BF,Sevii Islands,Magikarp,129,,,Night,Fishing,Old,,,2,34-38
One Island,#FF00BF,Sevii Islands,Staryu,120,,,Night,Fishing,Super,,[[Star Piece]],6,34-38
One Island,#FF00BF,Sevii Islands,Goldeen,118,Morning,Day,Night,Fishing,Good,,,1,34-38
One Island,#FF00BF,Sevii Islands,Gyarados,130,Morning,Day,Night,Fishing,Super,,,5,34-38
One Island,#FF00BF,Sevii Islands,Horsea,116,Morning,Day,Night,Fishing,Good,,[[Dragon Scale]],2,34-38
One Island,#FF00BF,Sevii Islands,Krabby,98,Morning,Day,Night,Fishing,Old,,,1,34-38
One Island,#FF00BF,Sevii Islands,Kingler,99,Morning,Day,Night,Fishing,Super,,,3,34-38
One Island,#FF00BF,Sevii Islands,Psyduck,54,Morning,Day,Night,Surfing,Good,,,1,34-38
One Island,#FF00BF,Sevii Islands,Seadra,117,Morning,Day,Night,Fishing,Super,[[Dragon Scale]],,4,34-38
One Island,#FF00BF,Sevii Islands,Tentacool,72,Morning,Day,Night,Surfing,,,,1,15-19
